final_section_id,origin,title,start_pdf_page,end_pdf_page,scope,auto_confidence,model_recommendation,human_decision,human_reason,human_evidence_note,reviewer,review_date,confirmation_status
MAN001,human_added,第一节释义中的主要投资机构简称,11,12,reference,not_applicable,not_applicable,add,该页不是历史沿革核心章节，但能减少简称与全称混淆，因此由人工补充为reference。,PDF第11-12页“第一节 释义”列出东方富海、深创投、国科瑞华、火炬电子、厦门西堤、中小企业基金等简称与主体全称，可用于后续主体名称归一化。,lzr,2026-07-13,confirmed
MAN002,human_added,第二节概览中的发行人注册资本摘要,21,21,reference,not_applicable,not_applicable,add,该页不是历史事件正文，但可作为最终注册资本和发行前后总股本的交叉核对来源。,"PDF第21页“发行人基本情况”表格披露注册资本4,883.7074万元；同页还披露本次发行股数及发行后总股本摘要。",lzr,2026-07-13,confirmed
SEC002,auto_candidate_human_verified,（一）发行人的设立方式,53,55,core,high,keep,adjust,自动范围漏掉第55页的发起人持股表续页，人工将范围由53-54调整为53-55。,"PDF第53页开始“（一）发行人的设立方式”；第54页披露净资产折股为4,000万股并开始发起人表，第55页续完发起人表后才进入下一小节。",lzr,2026-07-13,confirmed
SEC001,auto_candidate_human_verified,二、发行人的设立情况,53,57,reference,high,keep,reference_only,该记录是设立部分的父级总括范围，保留作导航和证据索引，具体事实由SEC002-SEC004承载。,PDF第53页出现“二、发行人的设立情况”，后续依次披露整体变更设立、云汉有限设立及股本演变图；PDF第58页开始“股份公司设立后的股东变化情况”。,lzr,2026-07-13,confirmed
SEC003,auto_candidate_human_verified,（二）云汉有限的设立情况,55,56,core,high,keep,adjust,自动范围仅含第55页，未覆盖第56页的设立时出资结构表，人工调整为55-56。,PDF第55页出现“（二）云汉有限的设立情况”，披露2008年注册资本50万元及两名股东各认缴25万元；设立时出资比例表延续到第56页。,lzr,2026-07-13,confirmed
SEC004,auto_candidate_human_verified,（三）云汉有限设立以来股本演变情况,56,58,core,high,keep,adjust,纯文本不能完整表达图形，且图示延续到第58页，人工将范围由56-57调整为56-58。,PDF第56页出现“（三）云汉有限设立以来股本演变情况”及“转下图”，第57页为“续上图”，第58页仍有股本演变图续页，随后才进入第三部分。,lzr,2026-07-13,confirmed
SEC006,auto_candidate_human_verified,（一）2018 年4 月，股份公司第一次股权转让,58,59,core,high,keep,adjust,自动结果只定位第58页，未覆盖第59页的转让后结构表，人工调整为58-59。,"PDF第58页标题为“2018年4月，股份公司第一次股权转让”，正文披露丰利财富向天健创投转让666,680股、占总股本1.67%；转让后股权结构表续至第59页。",lzr,2026-07-13,confirmed
SEC005,auto_candidate_human_verified,三、发行人股份公司设立后的股东变化情况,58,71,reference,high,keep,reference_only,该记录是股份公司设立后股东变化的父级总括章节，保留作导航，具体核心事件由SEC006-SEC010承载。,PDF第58页出现“三、发行人股份公司设立后的股东变化情况”，其下包含多轮转让、增资、对赌条款解除等内容；PDF第72页开始“四、发行人重大资产重组情况”。,lzr,2026-07-13,confirmed
SEC007,auto_candidate_human_verified,（二）2018 年6 月至7 月，股份公司增加注册资本暨第二次股权转让,59,61,core,high,keep,adjust,该小节同时包含增资和股权转让，且股权结构表跨至第61页，人工将范围由59-60调整为59-61，后续事件阶段再拆分。,PDF第59页开始“2018年6月至7月，股份公司增加注册资本暨第二次股权转让”；第60页披露两次工商变更及增资后股权表，第61页续完该表后才进入第三次转让。,lzr,2026-07-13,confirmed
SEC008,auto_candidate_human_verified,（三）2019 年8 月，股份公司第三次股权转让,61,62,core,high,keep,adjust,自动范围漏掉第62页的转让后结构表续页，人工调整为61-62。,PDF第61页出现“2019年8月，股份公司第三次股权转让”，披露为赛咨询分别向李文发、秦国君转让40万股；转让后结构表延续到第62页。,lzr,2026-07-13,confirmed
SEC009,auto_candidate_human_verified,（四）2020 年5 月，股份公司第二次增资,62,63,core,high,keep,adjust,自动结果只含第62页，未覆盖第63页的增资后结构表续页，人工调整为62-63。,"PDF第62页出现“2020年5月，股份公司第二次增资”，披露注册资本由4,635万元增至4,748.0488万元，火炬电子认购113.0488万股；增资后股权结构表延续到第63页。",lzr,2026-07-13,confirmed
SEC010,auto_candidate_human_verified,（五）2020 年9 月，股份公司第三次增资和第四次股权转让,63,65,core,high,keep,adjust,自动范围未覆盖第65页的变更后股权结构续表，人工调整为63-65；后续应将增资和多笔转让拆成不同事件包。,PDF第63页出现“2020年9月，股份公司第三次增资和第四次股权转让”；第64页列示10笔转让明细并开始变更后股权结构，第65页续完结构表后进入“对赌协议解除”。,lzr,2026-07-13,confirmed
SEC011,auto_candidate_human_verified,七、发行人主要股东及实际控制人的基本情况,79,91,reference,high,reference_only,adjust,该章节用于主体身份、持股及关联方核对，不是历史事件正文；自动结束页90漏掉第91页的章节收尾，人工调整为79-91。,PDF第79页出现“七、发行人主要股东及实际控制人的基本情况”，第80页起介绍控股股东，第81页起介绍其他5%以上股东；PDF第91页在介绍中科贵银后开始下一节“八、发行人股本情况”。,lzr,2026-07-13,confirmed
SEC012,auto_candidate_human_verified,（一）公司控股股东及实际控制人,80,80,reference,medium,reference_only,reference_only,用于核对控股股东身份和最终持股，不作为股本变化核心事件。,PDF第80页标题为“（一）公司控股股东及实际控制人”，披露曾烨直接持股33.03%、通过为赛咨询间接控制2.16%。,lzr,2026-07-13,confirmed
SEC013,auto_candidate_human_verified,（二）其他持有公司5%以上股份的主要股东,81,91,reference,high,reference_only,adjust,自动结束页90未覆盖第91页最后一名主要股东的收尾信息，人工调整为81-91。,PDF第81页出现“（二）其他持有公司5%以上股份的主要股东”，依次介绍刘云锋、力源信息、富海系和国科系等；第91页完成中科贵银信息后进入“八、发行人股本情况”。,lzr,2026-07-13,confirmed
SEC015,auto_candidate_human_verified,（一）本次发行前后的股本情况,91,93,core,high,keep,adjust,自动范围91-92漏掉第93页的表尾、发行股本和合计行，人工调整为91-93。,"PDF第91页出现“（一）本次发行前后的股本情况”，披露发行前总股本48,837,074股；股东明细表跨第92页并在第93页以发行前48,837,074股、发行后65,116,099股合计结束。",lzr,2026-07-13,confirmed
SEC014,auto_candidate_human_verified,八、发行人股本情况,91,98,reference,high,reference_only,reference_only,该记录是股本情况父级总括范围，保留为参考导航，核心快照优先使用SEC015和SEC016。,PDF第91页出现“八、发行人股本情况”，其下依次披露发行前后股本、前十名股东、自然人股东、国有及外资股份、关联关系和特殊类型股东；该部分延续至第98页。,lzr,2026-07-13,confirmed
SEC016,auto_candidate_human_verified,（二）发行前本公司前十名股东,93,93,core,high,keep,keep,该页是发行前股权结构快照的核心表格，自动范围准确。,"PDF第93页标题为“（二）发行前本公司前十名股东”，列示曾烨、刘云锋等前十名股东，合计持股39,656,020股、占81.20%。",lzr,2026-07-13,confirmed
SEC017,auto_candidate_human_verified,（三）本次发行前的前十名自然人股东及其在发行人处担任职务,93,94,reference,high,reference_only,adjust,自动范围仅含第93页，漏掉第94页续表，人工调整为93-94；该节主要用于自然人身份和任职核对。,PDF第93页出现“（三）本次发行前的前十名自然人股东及其在发行人处担任职务”，表格在第94页续列沈笑彦、衣嘉平并给出合计。,lzr,2026-07-13,confirmed
SEC018,auto_candidate_human_verified,（四）发行人股本中国有股份及外资股份情况,94,94,reference,high,reference_only,reference_only,用于核对股份性质和外资股东信息，作为辅助参考。,"PDF第94页标题为“（四）发行人股本中国有股份及外资股份情况”，披露深创投国有属性及CASREV FUND持股618,000股、占1.27%。",lzr,2026-07-13,confirmed
SEC019,auto_candidate_human_verified,（五）最近一年内新增股东的情况,94,94,reference,high,reference_only,reference_only,该节可用于核对新增股东范围，但不属于历史股本变化核心事件。,PDF第94页标题为“（五）最近一年内新增股东的情况”，正文明确披露截至招股说明书签署日不存在最近一年新增股东。,lzr,2026-07-13,confirmed
SEC020,auto_candidate_human_verified,（六）本次发行前各股东间的关联关系及关联股东的各自持股比例,94,95,reference,high,reference_only,adjust,自动范围仅含第94页，漏掉第95页关联关系续表，人工调整为94-95。,PDF第94页出现“（六）本次发行前各股东间的关联关系及关联股东的各自持股比例”，关联关系表延续至第95页，之后才进入“（七）特殊类型股东”。,lzr,2026-07-13,confirmed
